argumentatively,15,1.61,15,6,RB,0
disenfranchises,15,1.61,14,5,VB,0
horticulturalist,16,1.61,15,6,NN|JJ,0
imperialistically,17,1.61,15,6,RB,0
problematically,15,1.61,13,5,RB,0
prognosticating,15,1.61,14,5,VB|NN|JJ,0
municipality's,14,1.61,14,6,encl,0
sentimentalized,15,1.61,13,5,JJ|VB,0
abstemious,10,1.39,9,3,JJ,0
acrimoniously,13,1.39,12,5,RB,0
ALABAMIAN,9,1.39,9,4,NN|JJ,0
anaesthetizing,14,1.39,11,5,VB|NN|JJ,0
anathematized,13,1.39,11,5,VB,0
antagonistically,16,1.39,14,6,RB,0
antepenultimate,15,1.39,14,6,JJ,0
anthologize,11,1.39,9,4,VB,0
antithetic,10,1.39,9,4,JJ,0
apostatized,11,1.39,10,4,VB,0
appliqueing,11,1.39,8,4,NN|VB|JJ,0
apprehensible,13,1.39,11,5,JJ,0
aquaplaning,11,1.39,10,4,VB|NN|JJ,0
asseverates,11,1.39,9,4,VB,0
atheistical,11,1.39,9,5,JJ,0
belabouring,11,1.39,8,4,VB,0
beseechingly,12,1.39,9,4,RB,0
blackballing,12,1.39,9,3,VB|NN|JJ,0
burglarious,11,1.39,9,3,JJ,0
calcifying,10,1.39,9,4,VB|NN|JJ,0
calumniated,11,1.39,11,5,VB,0
canoodling,10,1.39,8,4,VB|NN|JJ,0
checkmating,11,1.39,8,3,VB|NN|JJ,0
Christianizing,14,1.39,12,4,VB|NN|JJ,0
climacteric,11,1.39,10,4,NN|JJ,0
collectivize,12,1.39,10,4,VB,0
commandeers,11,1.39,9,3,VB,0
commutating,11,1.39,10,4,VB,0
congesting,10,1.39,9,3,VB|NN|JJ,0
conjointly,10,1.39,9,3,RB,0
constipates,11,1.39,10,3,VB,0
CONTINENTALLY,13,1.39,10,5,RB,0
countermoves,12,1.39,9,3,VB|NN,0
countervail,11,1.39,8,3,VB,0
credulously,11,1.39,10,4,RB,0
crenellated,11,1.39,9,4,VB,0
decolonize,10,1.39,9,4,VB,0
decontrolled,12,1.39,10,3,VB|JJ,0
dehumidified,12,1.39,12,5,JJ|VB,0
delimitated,11,1.39,11,5,VB|JJ,0
demoniacally,12,1.39,10,4,RB,0
demythologize,13,1.39,11,5,VB,0
depopulating,12,1.39,12,5,VB|NN|JJ,0
deprecates,10,1.39,9,3,VB,0
desalinated,11,1.39,11,5,VB,0
desiccating,11,1.39,9,4,VB|NN|JJ,0
deviationist,12,1.39,10,5,NN|JJ,0
