abase,5,3.4,4,2,2,0
abash,5,0,4,2,1,0
abdicate,8,4.77,7,3,1,0
Abel's,6,3.95,4,2,2,0
aberrant,8,5.11,7,3,2,0
abetted,7,4.88,6,3,2,0
abhorred,8,4.47,6,2,2,0
abhorrent,9,5.9,8,3,2,0
abominate,9,1.1,8,4,2,0
abortive,8,5.36,7,3,2,0
abounded,8,4.36,7,3,2,0
abounding,9,4.61,7,3,2,0
abrogate,8,4.61,7,3,3,0
abscond,7,2.83,7,2,1,0
absented,8,1.39,8,3,3,0
absentee,8,5.02,6,3,3,0
absently,8,5.25,7,3,3,0
abstinent,9,4.29,9,3,2,0
abstruse,8,5.06,7,2,1,0
absurdly,8,5.76,7,3,2,0
acceded,7,4.13,7,3,3,0
accentual,9,0,9,3,2,0
acclaims,8,1.95,6,2,2,0
acclimate,9,4.57,7,3,2,0
accorded,8,6.33,7,3,3,0
accost,6,3.43,5,2,1,0
accosted,8,5.12,7,3,2,0
accredit,8,3.56,7,3,2,0
accrues,7,4.14,5,2,2,0
accurst,7,1.39,5,2,3,0
accustom,8,4.32,7,3,2,0
acerbic,7,4.33,6,3,2,0
acquaint,8,5.12,6,2,1,0
acquiesce,9,4.68,6,3,1,0
acquiesced,10,4.71,7,3,2,0
acquitted,9,6.41,7,3,3,0
acutely,7,5.81,7,3,2,0
acuteness,9,2.94,8,3,2,0
woollen,7,3.93,5,2,2,0
Woolworth's,11,4.23,7,2,0,0
wordless,8,4.7,6,2,2,0
workman's,9,4.37,7,2,3,0
worldshaking,12,0,9,3,0,0
wornout,7,2.56,6,2,3,0
worriedly,9,3.95,7,3,3,0
worrisome,9,5.46,6,3,2,0
worsens,7,4.71,5,2,3,0
worshiped,9,5.8,6,2,0,0
worshipful,10,4.41,7,3,2,0
worsted,7,3.61,6,2,2,0
worthiest,9,1.39,7,3,3,0
wouldbe,7,4.04,5,2,2,0
wounding,8,5.75,6,2,2,0
wrangled,8,3,6,2,2,0
wrathful,8,3.76,5,2,2,0
wreathe,7,2.2,3,1,1,0
wreathed,8,3.5,4,1,2,0
wrenched,8,5.12,5,1,2,0
wrenching,9,5.48,6,2,2,0
wrestler's,10,3.78,6,2,3,0
wrestles,8,4.5,5,2,2,0
wrinkly,7,4.23,6,3,2,0
Wyndham's,9,2.48,7,2,0,0
Xavier's,8,4.88,6,2,2,0
yachters,8,0.69,5,2,0,0
yearlong,8,2.77,6,2,2,0
yearningly,10,1.95,7,3,3,0
yeasty,6,3.78,5,2,2,0
yellowish,9,5.54,6,3,2,0
yelping,7,4.5,6,2,2,0
Yorker's,8,2.77,6,2,0,0
youngish,8,4.14,5,2,2,0
youngster's,11,3.71,7,2,0,0
zealously,9,5.24,7,3,3,0
zodiacal,8,4.69,8,3,2,0
where're,8,3.14,5,2,2,0
wherewith,9,3.89,7,2,2,0
whetted,7,4.01,6,2,2,0
whimsical,9,5.81,8,3,2,0
whinnied,8,2.3,6,2,2,0
whip's,6,2.64,5,1,2,0
whirlwind's,11,0,9,2,3,0
whiskered,9,2.64,7,2,2,0
whisking,8,4.01,7,2,2,0
whistled,8,5.65,6,2,2,0
whistling,9,6.62,7,3,2,0
whitehaired,11,0,8,2,3,0
whitehead's,11,3.47,7,2,0,0
whiten,6,4.36,5,2,2,0
whitened,8,5.02,6,2,3,0
whitens,7,0,6,2,3,0
Whitman's,9,4.53,7,2,0,0
whizzed,7,3.81,5,1,2,0
whizzing,8,4.94,6,2,2,0
wholemeal,9,4.19,6,2,2,0
wholewheat,10,2.56,6,2,0,0
why've,6,0,0,0,0,0
wickedly,8,5.72,7,3,2,0
wifely,6,2.83,5,2,2,0
willfully,9,6.17,7,3,0,0
willowy,7,3.37,5,3,2,0
Wilsonian,9,1.79,9,4,0,0
wincing,7,4.96,6,2,2,0
windless,8,3.37,7,2,2,0
windowless,10,4.38,8,3,2,0
windsleeve,10,0,8,2,0,0
windswept,9,4.53,9,2,2,0
windward,8,5.27,7,2,2,0
wine's,6,3.14,4,1,0,0
wingless,8,3.53,6,2,2,0
winless,7,3.66,6,2,2,0
winsome,7,4.49,5,2,1,0
wintered,8,2.48,6,2,2,0
wintery,7,3.37,6,3,2,0
wintry,6,3.56,6,2,2,0
wisecracked,11,0.69,8,2,3,0
wistful,7,5.23,6,2,2,0
wistfully,9,5.04,7,3,3,0
witchdoctor,11,3.04,8,3,0,0
withered,8,5.31,5,2,2,0
withering,9,6.38,6,3,2,0
withstood,9,5.36,7,2,2,0
wittingly,9,3.4,7,3,3,0
wive's,6,3.47,4,1,0,0
wobbled,7,4.56,5,2,2,0
woebegone,9,2.2,7,3,3,0
womanish,8,1.95,7,3,2,0
womanize,8,1.39,7,3,2,0
womanly,7,5.02,7,3,2,0
warbling,8,4.19,7,3,2,0
warily,6,4.88,6,3,2,0
warlike,7,5.18,6,2,2,0
warmish,7,3.3,6,2,2,0
warningly,9,1.95,8,3,3,0
warred,6,3.04,4,1,2,0
Warren's,8,5.37,6,2,2,0
Warsaw's,8,2.56,6,2,0,0
wartorn,7,0.69,7,2,3,0
warty,5,3.56,5,2,2,0
washable,8,5.48,6,3,2,0
watchstrap,10,0,8,2,2,0
waterborne,10,4.43,8,3,2,0
waterhole,9,3.22,7,3,0,0
watertight,10,4.96,7,3,2,0
waterwheel,10,2.89,8,3,0,0
Watson's,8,5.35,6,2,3,0
waxen,5,1.39,5,2,2,0
waylaid,7,3.81,5,2,3,0
waylay,6,2.48,4,2,2,0
weakening,9,6.6,7,3,3,0
wearied,7,2.89,5,2,2,0
wearily,7,4.7,6,3,2,0
wearisome,9,3,6,3,2,0
weathered,9,5.56,5,2,2,0
weightless,10,4.92,6,2,3,0
weirdly,7,4.99,6,2,2,0
wellborn,8,1.39,7,2,2,0
wellknown,9,4.38,6,2,3,0
Wesley's,8,4.9,6,2,3,0
westbound,9,5.14,8,2,2,0
westerly,8,4.88,7,3,3,0
westernize,10,2.4,8,3,3,0
westward,8,5.93,7,2,2,0
wheezed,7,3.58,5,1,2,0
wheezing,8,5.51,6,2,2,0
wheezy,6,3.09,5,2,2,0
when've,7,0,0,0,0,0
vicarious,9,5.06,8,3,2,0
vicelike,8,0,6,2,2,0
victimize,9,4.39,8,3,2,0
Victor's,8,5.18,6,2,0,0
Vienna's,8,2.71,6,3,3,0
viewless,8,0,6,2,2,0
vigilant,8,6.1,8,3,2,0
vilify,6,4.62,6,3,1,0
villainous,10,5.33,7,3,2,0
vindicate,9,4.77,8,3,2,0
violable,8,0,7,3,2,0
viola's,7,1.61,6,3,2,0
virulent,8,6.06,8,3,2,0
visceral,8,5.92,7,3,3,0
viselike,8,1.61,6,2,2,0
vitalize,8,1.1,6,3,2,0
vitreous,8,3.99,7,2,2,0
vivacious,9,4.42,7,3,2,0
Vivian's,8,3.76,7,2,2,0
vivified,8,0,7,3,3,0
vivify,6,0.69,6,3,2,0
vocalic,7,1.61,7,3,3,0
vocalize,8,4.36,7,3,3,0
vociferate,10,0,9,4,3,0
voiceless,9,5.56,6,2,2,0
voice's,7,2.77,5,2,0,0
voltaic,7,1.61,7,3,2,0
voluble,7,3.04,7,3,1,0
voracious,9,5.73,7,3,2,0
votive,6,3.66,5,2,1,0
vouchsafes,10,1.1,7,2,3,0
vulgarize,9,1.1,7,3,3,0
wadded,6,3.89,5,2,2,0
waggled,7,2.64,5,2,2,0
Wagner's,8,5.58,6,2,0,0
wainscoted,10,0,9,3,2,0
waked,5,2.77,4,1,2,0
wakeful,7,3.43,5,2,2,0
wakened,7,3.78,6,2,3,0
walloped,8,3.33,6,2,2,0
wallowed,8,3.33,5,2,2,0
wallowing,9,5.5,6,3,2,0
Walter's,8,4.55,6,2,2,0
urbanize,8,0,6,3,3,0
urbanized,9,4.32,7,3,4,0
usefully,8,5.92,6,3,3,0
uselessly,9,4.65,8,3,3,0
usurious,8,3.26,8,3,3,0
uttering,8,5.48,5,3,2,0
uttermost,9,3.22,7,3,2,0
vacated,7,5.58,7,3,3,0
vaccinate,9,6.11,7,3,2,0
vacillate,9,3.47,7,3,1,0
vacuous,7,5.61,7,2,2,0
vacuumed,8,4.56,7,2,3,0
vagrant,7,4.48,7,2,2,0
vaguest,7,4.6,6,2,2,0
validly,7,5.45,7,3,2,0
valley's,8,4.74,5,2,0,0
valueless,9,4.98,8,3,2,0
vamoose,7,2.3,5,2,1,0
vandalize,9,3.58,7,3,2,0
vanquish,8,4.72,7,2,1,0
vaporize,8,5.46,6,3,2,0
vaporous,8,3.99,6,3,2,0
varicolored,11,1.39,9,4,0,0
varicose,8,3.99,7,3,1,0
vascular,8,5.94,8,3,1,0
vaster,6,3.74,5,2,2,0
vegetate,8,3.26,7,3,2,0
vehement,8,5.59,7,2,2,0
veined,6,3.53,4,1,2,0
velvety,7,4.81,7,3,2,0
venerate,8,3.97,7,3,2,0
venereal,8,5.41,8,3,1,0
venial,6,2.56,6,2,1,0
ventilate,9,4.09,7,3,1,0
ventilates,10,1.1,8,3,2,0
venturesome,11,2.08,7,3,2,0
venturous,9,1.79,7,3,0,0
veracious,9,2.08,7,3,2,0
verbalize,9,4.41,6,3,3,0
veridical,9,2.3,9,4,0,0
verisimilar,11,0,0,0,0,0
vermilion,9,4.47,8,3,1,0
Vermont's,9,3.26,7,2,0,0
versify,7,0,6,3,2,0
vertebral,9,4.17,8,3,3,0
vesicular,9,4.01,9,4,1,0
veteran's,9,5.32,8,3,2,0
vexatious,9,4.39,8,3,2,0
vexes,5,2.89,6,2,2,0
vibrated,8,4.48,8,3,3,0
unloose,7,3.43,5,2,2,0
unlovely,8,2.71,7,3,3,0
unluckily,9,3.91,8,4,4,0
unmade,6,3.87,5,2,2,0
unmalicious,11,0,9,4,3,0
unmanaged,9,4.57,8,3,3,0
unmannered,10,0.69,7,3,3,0
unmask,6,4.55,6,2,2,0
unmasked,8,5.35,7,2,3,0
unmatched,9,6.1,6,2,3,0
unmated,7,0.69,7,3,3,0
unmeasured,10,3.33,7,3,3,0
unmixed,7,3.71,7,2,3,0
unmoved,7,4.76,6,2,3,0
unmurmuring,11,0,8,4,3,0
unnameable,10,3.33,8,4,3,0
