accept,127,6,49430,10.81,6,2,2,VB
appreciate,127,10,49973,10.82,8,4,3,VB
choose,127,6,49680,10.81,3,1,1,VB
decided,127,7,49697,10.81,7,3,2,VB|JJ
generally,127,9,49991,10.82,7,3,3,RB
install,127,7,49667,10.81,6,2,2,VB
installed,127,9,50303,10.83,7,2,3,VB
lower,127,5,49669,10.81,3,1,2,JJ|RB
paid,127,4,50044,10.82,3,1,2,VB
provided,127,8,50365,10.83,8,3,3,VB
published,127,9,49961,10.82,7,2,2,VB
accepts,126,7,4586,8.43,7,2,3,VB
accidentally,126,12,4432,8.4,10,5,4,RB
accompanied,126,11,4441,8.4,9,4,4,VB
adjusted,126,8,4511,8.41,7,3,2,VB|JJ
affiliated,126,10,4536,8.42,9,5,3,VB
allegedly,126,9,4412,8.39,8,4,3,RB
analytical,126,10,4388,8.39,8,5,3,JJ
anyone's,126,8,4297,8.37,7,3,3,encl
approached,126,10,4691,8.45,6,2,2,VB
approaching,126,11,4386,8.39,7,3,2,VB
artistic,126,8,4327,8.37,8,3,3,JJ
awarded,126,7,4691,8.45,7,3,2,VB
beg,126,3,4583,8.43,3,1,1,VB
beneficial,126,10,4321,8.37,8,4,2,JJ
calculated,126,10,4422,8.39,11,4,3,VB
Celtic,126,6,4696,8.45,6,2,2,JJ
chronic,126,7,4729,8.46,6,2,2,JJ
cleaned,126,7,4544,8.42,5,1,2,VB
commented,126,9,4541,8.42,8,3,2,VB
competent,126,9,4536,8.42,9,3,2,JJ
consist,126,7,4627,8.44,7,2,2,VB
constructive,126,12,4446,8.4,11,3,3,JJ
contributing,126,12,4445,8.4,12,4,3,VB
converts,126,8,4328,8.37,7,2,3,VB
decode,126,6,4620,8.44,5,2,2,VB
defeated,126,8,4556,8.42,7,3,2,VB|JJ
destructive,126,11,4735,8.46,10,3,3,JJ
discusses,126,9,4639,8.44,8,3,2,VB
disgusting,126,10,4754,8.47,9,3,2,JJ|VB
dramatically,126,12,4480,8.41,10,4,3,RB
dull,126,4,4644,8.44,3,1,1,JJ|VB
dumped,126,6,4482,8.41,5,1,2,VB
eager,126,5,4690,8.45,3,2,1,JJ
educate,126,7,4500,8.41,6,3,2,VB
elementary,126,10,4768,8.47,9,4,1,JJ
evaluated,126,9,4657,8.45,10,5,4,VB
examined,126,8,4425,8.4,8,3,2,VB
exceptional,126,11,4363,8.38,9,4,4,JJ
exploring,126,9,4718,8.46,9,3,2,VB
expressing,126,10,4482,8.41,9,3,3,VB
father's,126,8,4586,8.43,5,2,2,encl
generous,126,8,4648,8.44,7,3,1,JJ
harmful,126,7,4590,8.43,6,2,2,JJ
heal,126,4,4319,8.37,3,1,1,VB
ideally,126,7,4366,8.38,6,3,2,RB
independently,126,13,4675,8.45,13,5,5,RB
initiated,126,9,4748,8.47,9,5,3,VB
insulting,126,9,4334,8.37,8,3,2,JJ|VB
intensive,126,9,4488,8.41,8,3,2,JJ
interstate,126,10,4614,8.44,8,3,2,JJ
introductory,126,12,4711,8.46,12,5,3,JJ
invoke,126,6,4729,8.46,5,2,2,VB
it'd,126,4,4698,8.45,4,2,0,?
judicial,126,8,4488,8.41,6,3,2,JJ
kissed,126,6,4684,8.45,4,1,2,VB
labeled,126,7,4375,8.38,5,2,2,VB
landed,126,6,4427,8.4,6,2,2,VB
lied,126,4,4456,8.4,3,1,2,VB
locking,126,7,4396,8.39,5,2,2,JJ|VB
minded,126,6,4469,8.4,6,2,2,VB
minimize,126,8,4355,8.38,7,3,2,VB
nation's,126,8,4565,8.43,5,2,2,encl
needing,126,7,4371,8.38,5,2,2,VB
notify,126,6,4511,8.41,6,3,2,VB
nowadays,126,8,4672,8.45,6,2,4,RB
numerical,126,9,4661,8.45,8,4,3,JJ
occupied,126,8,4569,8.43,7,3,2,VB|JJ
oldest,126,6,4630,8.44,6,2,2,JJ
other's,126,7,4676,8.45,4,2,2,encl
outdoor,126,7,4413,8.39,5,2,2,JJ
payable,126,7,4454,8.4,5,2,2,JJ
pointless,126,9,4454,8.4,7,2,2,JJ
predicted,126,9,4746,8.47,9,3,2,VB
primitive,126,9,4408,8.39,8,3,2,JJ
probable,126,8,4356,8.38,7,3,2,JJ
programmed,126,10,4625,8.44,8,2,2,VB
prospective,126,11,4707,8.46,10,3,3,JJ
quicker,126,7,4353,8.38,5,2,2,JJ|RB
readable,126,8,4681,8.45,6,3,2,JJ
reduces,126,7,4297,8.37,7,3,3,VB
reflects,126,8,4325,8.37,8,2,3,VB
relaxed,126,7,4399,8.39,7,2,2,VB|JJ
reproduce,126,9,4658,8.45,8,3,3,VB
restored,126,8,4314,8.37,7,2,2,VB|JJ
scored,126,6,4657,8.45,5,1,2,VB
seemingly,126,9,4699,8.46,7,3,3,RB
seldom,126,6,4444,8.4,6,2,1,RB
selective,126,9,4403,8.39,8,3,2,JJ
selfish,126,7,4364,8.38,6,2,2,JJ
sincere,126,7,4659,8.45,6,2,1,JJ
skeptical,126,9,4308,8.37,8,3,2,JJ
slick,126,5,4655,8.45,4,1,1,JJ
sliding,126,7,4432,8.4,6,2,2,VB
specialize,126,10,4463,8.4,7,3,2,VB
specializes,126,11,4487,8.41,9,4,3,VB
spelled,126,7,4687,8.45,5,1,2,VB
structural,126,10,4434,8.4,9,3,3,JJ
suited,126,6,4561,8.43,5,2,2,VB|JJ
surrounded,126,10,4382,8.39,8,3,2,VB
survived,126,8,4610,8.44,6,2,3,VB
suspected,126,9,4329,8.37,9,3,2,VB|JJ
suspended,126,9,4602,8.43,9,3,3,VB|JJ
thorough,126,8,4747,8.47,4,2,1,JJ
tightly,126,7,4669,8.45,5,2,2,RB
timely,126,6,4301,8.37,5,2,2,JJ|RB
treating,126,8,4506,8.41,6,2,2,VB
tricky,126,6,4514,8.41,5,2,2,JJ
understands,126,11,4431,8.4,10,3,2,VB
unopened,126,8,4632,8.44,7,3,3,JJ
unused,126,6,4443,8.4,6,2,3,JJ
varying,126,7,4705,8.46,6,3,2,VB|JJ
verified,126,8,4461,8.4,7,3,3,VB|JJ
violated,126,8,4455,8.4,8,3,3,VB|JJ
where's,126,7,4409,8.39,5,1,2,encl
whilst,126,6,4484,8.41,6,1,2,RB
wholesale,126,9,4518,8.42,6,2,2,JJ
gives,125,5,54544,10.91,4,1,2,VB
latest,125,6,53298,10.88,6,2,2,JJ
listed,125,6,54165,10.9,6,2,2,VB|JJ
poor,125,4,53482,10.89,3,1,1,JJ
doesn't,124,7,246123,12.41,5,2,3,encl
aback,123,5,387,5.96,4,2,1,RB
abhor,123,5,383,5.95,5,2,1,VB
abhorrent,123,9,366,5.9,8,3,2,JJ
abides,123,6,443,6.09,5,2,2,VB
abnormally,123,10,372,5.92,8,4,4,RB
abominable,123,10,473,6.16,9,5,2,JJ
abreast,123,7,491,6.2,6,2,1,RB
accommodating,123,13,447,6.1,10,5,2,VB|JJ
acquires,123,8,460,6.13,6,2,3,VB
actor's,123,7,363,5.89,5,2,0,?
acutely,123,7,332,5.81,7,3,2,RB
adamantly,123,9,329,5.8,9,4,2,RB
adhered,123,7,387,5.96,6,2,3,VB
administers,123,11,385,5.95,10,4,2,VB
admirably,123,9,417,6.03,8,4,3,RB
admissible,123,10,366,5.9,8,4,3,JJ
adopts,123,6,452,6.11,6,2,2,VB
adored,123,6,356,5.87,5,2,2,VB
adrenal,123,7,343,5.84,6,3,1,JJ
afar,123,4,446,6.1,4,2,1,RB
affirming,123,9,339,5.83,6,3,3,VB
affirms,123,7,338,5.82,5,2,3,VB
affords,123,7,395,5.98,6,2,2,VB
afloat,123,6,415,6.03,5,2,1,RB
afoot,123,5,435,6.08,4,2,1,RB
agonizing,123,9,463,6.14,8,4,3,JJ|VB
airless,123,7,420,6.04,5,2,2,JJ
airtight,123,8,366,5.9,5,2,2,JJ
airy,123,4,362,5.89,3,2,2,JJ
alerting,123,8,332,5.81,6,3,2,VB
Alexander's,123,11,423,6.05,10,4,2,encl
aligning,123,8,335,5.81,6,3,3,VB
alleging,123,8,476,6.17,6,3,2,VB
Allen's,123,7,342,5.83,5,2,2,encl
allot,123,5,479,6.17,4,2,1,VB
allotted,123,8,472,6.16,6,3,2,VB
aloof,123,5,368,5.91,4,2,1,JJ
amending,123,8,375,5.93,7,3,2,VB
American's,123,10,412,6.02,9,4,3,encl
amoral,123,6,330,5.8,6,3,2,JJ
amorphous,123,9,454,6.12,7,3,3,JJ
amphibious,123,10,343,5.84,8,3,2,JJ
amply,123,5,395,5.98,5,2,2,RB
analysed,123,8,355,5.87,6,3,3,VB
anatomical,123,10,446,6.1,9,5,3,JJ
Andy's,123,6,414,6.03,5,2,0,?
animal's,123,8,408,6.01,6,3,2,encl
Anne's,123,6,478,6.17,3,1,2,encl
Ann's,123,5,418,6.04,3,1,2,encl
antagonistic,123,12,445,6.1,12,5,3,JJ
antiquated,123,10,449,6.11,10,4,3,JJ
apathetic,123,9,466,6.14,8,4,3,JJ
apologetic,123,10,339,5.83,10,5,2,JJ
Apostolic,123,9,426,6.05,9,4,1,JJ
applauded,123,9,477,6.17,7,3,2,VB
appreciating,123,12,437,6.08,10,5,4,VB
apprehensive,123,12,390,5.97,10,4,3,JJ
apropos,123,7,442,6.09,6,3,1,RB
aqueous,123,7,389,5.96,6,2,1,JJ
ardent,123,6,491,6.2,5,2,2,JJ
arid,123,4,332,5.81,4,2,1,JJ
arm's,123,5,333,5.81,4,1,2,encl
aromatic,123,8,346,5.85,8,4,2,JJ
arouse,123,6,475,6.16,4,2,1,VB
arousing,123,8,432,6.07,6,3,2,VB|JJ
arranges,123,8,365,5.9,7,3,2,VB
Arthur's,123,8,399,5.99,5,2,2,encl
arty,123,4,453,6.12,4,2,2,JJ
ascended,123,8,470,6.15,7,3,3,VB
ascertained,123,11,400,5.99,7,3,3,VB
ascribed,123,8,427,6.06,7,2,3,VB
asinine,123,7,452,6.11,6,3,1,JJ
assassinate,123,11,450,6.11,7,4,2,VB
association's,123,13,413,6.02,9,5,5,encl
astonishingly,123,13,330,5.8,11,5,3,RB
astounded,123,9,450,6.11,8,3,2,VB
atrophy,123,7,434,6.07,6,3,1,VB
attainable,123,10,387,5.96,7,4,3,JJ
authenticate,123,12,483,6.18,9,4,3,VB
authenticated,123,13,480,6.17,11,5,4,VB|JJ
authorizes,123,10,327,5.79,8,4,3,VB
authorizing,123,11,394,5.98,8,4,3,VB
averted,123,7,367,5.91,6,3,2,VB
awarding,123,8,437,6.08,7,3,2,VB
awkwardly,123,9,378,5.93,7,3,2,RB
awry,123,4,431,6.07,3,2,1,RB
axiomatic,123,9,336,5.82,10,4,2,JJ
backdoor,123,8,429,6.06,6,2,2,JJ
baggy,123,5,478,6.17,4,2,2,JJ
bailing,123,7,343,5.84,5,2,2,VB
baited,123,6,334,5.81,5,2,2,VB
banal,123,5,436,6.08,5,2,1,JJ
banded,123,6,436,6.08,6,2,2,VB
bankroll,123,8,386,5.96,7,2,2,VB
bearable,123,8,335,5.81,6,3,2,JJ
bear's,123,6,411,6.02,4,1,2,encl
belligerent,123,11,432,6.07,10,4,2,JJ
betraying,123,9,344,5.84,7,3,2,VB
blacked,123,7,450,6.11,5,1,2,VB
blasphemous,123,11,445,6.1,9,3,2,JJ
blather,123,7,442,6.09,5,2,1,VB
blissful,123,8,423,6.05,6,2,2,JJ
blithely,123,8,368,5.91,6,2,2,RB
blooded,123,7,403,6,6,2,2,VB
bloodshot,123,9,429,6.06,7,2,2,JJ
blurted,123,7,341,5.83,6,2,2,VB
boasted,123,7,340,5.83,6,2,2,VB
bodied,123,6,366,5.9,5,2,1,JJ
bonkers,123,7,403,6,6,2,1,JJ
boosting,123,8,484,6.18,6,2,2,VB
borrows,123,7,399,5.99,5,2,2,VB
Boston's,123,8,382,5.95,7,2,3,encl
bothersome,123,10,441,6.09,6,3,2,JJ
bouncy,123,6,468,6.15,5,2,2,JJ
boundless,123,9,449,6.11,7,2,2,JJ
bracing,123,7,331,5.8,6,2,2,VB
braided,123,7,431,6.07,6,2,2,JJ|VB
brain's,123,7,383,5.95,5,1,2,encl
bravely,123,7,341,5.83,6,2,2,RB
breastfeed,123,10,386,5.96,8,2,2,VB
breathes,123,8,437,6.08,5,1,2,VB
bride's,123,7,350,5.86,5,1,2,encl
brighten,123,8,329,5.8,5,2,2,VB
brisk,123,5,348,5.85,5,1,1,JJ
bucked,123,6,431,6.07,4,1,2,VB
buckled,123,7,345,5.84,5,2,2,VB|JJ
bulletproof,123,11,353,5.87,9,3,2,JJ
bullying,123,8,410,6.02,6,3,2,VB
bundling,123,8,449,6.11,7,3,2,VB
burdened,123,8,472,6.16,5,2,2,VB
bushy,123,5,453,6.12,4,2,2,JJ
calibrate,123,9,450,6.11,8,3,1,VB
campaigned,123,10,377,5.93,7,2,2,VB
camped,123,6,420,6.04,5,1,2,VB
capitalistic,123,12,357,5.88,11,5,4,JJ
capped,123,6,485,6.18,4,1,2,VB|JJ
capricious,123,10,352,5.86,8,3,2,JJ
carelessly,123,10,381,5.94,8,3,3,RB
carnal,123,6,481,6.18,5,2,2,JJ
carpenter's,123,11,343,5.84,9,3,2,encl
Cartesian,123,9,443,6.09,7,3,1,JJ
categorical,123,11,478,6.17,10,5,3,JJ
catered,123,7,380,5.94,5,2,2,VB
cautioned,123,9,412,6.02,5,2,3,VB
cautions,123,8,381,5.94,5,2,3,VB
caved,123,5,347,5.85,4,1,2,VB
celebrates,123,10,485,6.18,9,3,3,VB
cervical,123,8,354,5.87,6,3,2,JJ
channeled,123,9,474,6.16,5,2,2,VB
characterizes,123,13,414,6.03,11,5,3,VB
charred,123,7,332,5.81,4,1,2,JJ|VB
chaste,123,6,340,5.83,4,1,1,JJ
chatted,123,7,425,6.05,5,2,2,VB
childless,123,9,330,5.8,7,2,2,JJ
childlike,123,9,332,5.81,7,2,2,JJ|RB
chipper,123,7,483,6.18,4,2,1,JJ
chronically,123,11,425,6.05,8,3,3,RB
churn,123,5,339,5.83,3,1,1,VB
churning,123,8,448,6.1,5,2,2,VB
clamping,123,8,441,6.09,7,2,2,VB
clapping,123,8,484,6.18,6,2,2,VB
clarifies,123,9,453,6.12,8,3,3,VB
clashed,123,7,326,5.79,5,1,2,VB
clasped,123,7,352,5.86,6,1,2,VB
classed,123,7,421,6.04,5,1,2,VB
cleansed,123,8,483,6.18,6,1,2,VB
clobber,123,7,418,6.04,5,2,1,VB
clouded,123,7,433,6.07,6,2,2,VB
clung,123,5,478,6.17,4,1,1,VB
clustering,123,10,466,6.14,8,3,2,VB
clutched,123,8,383,5.95,5,1,2,VB
cluttered,123,9,484,6.18,6,2,2,VB
codified,123,8,441,6.09,7,3,3,JJ|VB
coincided,123,9,346,5.85,9,4,3,VB
coincides,123,9,465,6.14,8,3,3,VB
collaborated,123,12,422,6.05,11,5,4,VB
collated,123,8,448,6.1,7,3,2,VB
college's,123,9,352,5.86,7,3,2,encl
colloquial,123,10,380,5.94,9,3,3,JJ
colonize,123,8,469,6.15,7,3,2,VB
colonized,123,9,331,5.8,8,3,3,VB
combing,123,7,407,6.01,5,2,2,VB
comforted,123,9,352,5.86,8,3,2,VB|JJ
commendable,123,11,344,5.84,9,4,2,JJ
commended,123,9,470,6.15,8,3,2,VB|JJ
communicative,123,13,335,5.81,12,5,4,JJ
compensating,123,12,396,5.98,11,4,4,VB
compensatory,123,12,372,5.92,12,5,4,JJ
competitively,123,13,489,6.19,12,5,3,RB
complacent,123,10,367,5.91,9,3,2,JJ
complimented,123,12,381,5.94,12,4,2,VB
complying,123,9,433,6.07,8,3,2,VB
comprehensible,123,14,465,6.14,13,5,3,JJ
computes,123,8,490,6.19,8,2,3,VB
concealing,123,10,419,6.04,8,3,2,VB
concocted,123,9,352,5.86,9,3,3,VB
condoned,123,8,383,5.95,7,2,2,VB
conductive,123,10,473,6.16,9,3,3,JJ
conferred,123,9,440,6.09,6,2,3,VB
confining,123,9,344,5.84,8,3,3,VB
confronts,123,9,404,6,9,2,3,VB
conjure,123,7,414,6.03,5,2,1,VB
consented,123,9,436,6.08,9,3,3,VB
