aah,3,5.4,0,0,0,2,0
aback,5,5.96,4,2,1,2,0
abandoned,9,8.55,8,3,2,2,2
abate,5,5.63,4,2,1,2,0
abated,6,4.97,6,3,2,2,0
abide,5,7.58,4,2,1,2,1
abides,6,6.09,5,2,2,2,0
abiding,7,7.22,6,3,2,2,2
abduct,6,5.19,6,2,2,2,0
abed,4,4.96,4,2,1,2,0
abet,4,4.39,4,2,1,2,0
abhor,5,5.95,5,2,1,2,0
abject,6,6.22,6,2,1,2,0
ablaze,6,5.04,5,2,2,2,0
able,4,12.08,3,2,1,2,1
ably,4,5.55,4,2,2,2,0
abnormal,8,7.7,7,3,3,2,2
abolish,7,7.38,6,3,1,2,2
abolished,9,7.28,7,3,2,2,2
abort,5,7.93,5,2,1,2,1
abound,6,6.97,5,2,1,2,0
abounds,7,5.75,6,2,2,2,0
abrasive,8,6.36,7,3,2,2,2
abreast,7,6.2,6,2,1,2,0
abridged,8,6.68,6,2,2,2,2
abrupt,6,6.58,6,2,1,2,0
abruptly,8,7.11,8,3,2,2,2
absent,6,8.01,5,2,2,2,1
absolve,7,5.41,6,2,2,2,0
absorb,6,7.93,6,2,2,2,2
absorbed,8,7.99,7,2,3,2,2
absorbs,7,6.43,7,2,3,2,2
abstain,7,6.87,6,2,1,2,2
abundant,8,7.23,8,3,2,2,2
abuse,5,10.16,5,2,1,2,1
abused,6,8.71,6,2,2,2,1
abuses,6,8.11,7,3,2,2,2
abusive,7,8.17,7,3,2,2,2
abut,4,5.56,4,2,1,2,0
abysmal,7,6.43,6,3,2,2,2
accede,6,5,5,2,2,2,0
accented,8,7.07,8,3,2,2,2
accept,6,10.81,6,2,2,2,1
accepted,8,10.43,8,3,3,2,2
accepts,7,8.43,7,2,3,2,2
acclaimed,9,6.96,6,2,2,2,2
acoustic,8,8.59,7,3,2,2,2
accounted,9,7.31,7,3,2,2,2
accrue,6,6.42,4,2,1,2,0
accrued,7,5.44,5,2,2,2,0
ached,5,5.69,3,1,2,2,0
achieve,7,9.65,4,2,1,2,1
achieved,8,9.02,5,2,2,2,2
accurate,8,9.98,7,3,2,2,2
accuse,6,8.24,5,2,1,2,1
accuses,7,6.7,7,3,2,2,2
accusing,8,7.74,7,3,2,2,2
achieves,8,6.64,5,2,2,2,2
aching,6,7,4,2,2,2,0
acidic,6,6.7,6,3,2,2,0
acquire,7,8.78,5,2,2,2,1
acquired,8,8.76,6,2,3,2,2
acquires,8,6.13,6,2,3,2,2
acquiring,9,7.58,7,3,3,2,2
acquit,6,4.61,5,2,2,2,0
acrid,5,4.71,5,2,1,2,0
acted,5,8.5,5,2,2,2,1
activate,8,8.16,7,3,3,2,2
active,6,10.48,5,2,2,2,1
actively,8,8.87,7,3,3,2,2
actor's,7,5.89,5,2,0,2,0
actually,8,12.19,7,3,3,2,2
adamant,7,6.44,7,3,1,2,2
zooming,7,6.26,5,2,2,2,0
zooms,5,5.95,4,1,2,2,0
won,3,10.22,3,1,1,2,1
wondered,8,9.12,6,2,2,2,2
wonderful,9,10.37,7,3,2,2,2
wondrous,8,6.35,7,2,2,2,2
won't,5,11.63,4,1,2,2,1
wooded,6,6.14,5,2,2,2,0
wooden,6,9.01,4,2,2,2,1
wooed,5,3.85,3,1,2,2,0
woolen,6,4.7,5,2,2,2,0
woozy,5,4.26,4,2,1,2,0
worded,6,6.95,5,2,2,2,0
wordy,5,5.59,4,2,2,2,0
wore,4,8.63,3,1,1,2,1
workable,8,7.43,6,3,2,2,2
worked,6,11,4,1,2,2,1
worker's,8,6.18,5,2,3,2,2
work's,6,4.84,4,1,2,2,0
worldly,7,7.03,6,2,2,2,2
world's,7,9.45,5,1,2,2,1
worldwide,9,9.83,7,2,2,2,2
wormy,5,4.06,4,2,2,2,0
worn,4,9.02,4,1,2,2,1
worried,7,9.3,5,2,2,2,1
worsen,6,5.99,4,2,2,2,0
worsened,8,5.81,5,2,3,2,0
worshipped,10,6.87,6,2,2,2,2
worthless,9,8.62,6,2,2,2,2
worthwhile,10,8.62,7,2,2,2,2
worthy,6,8.78,4,2,2,2,1
would,5,14.06,3,1,1,2,1
wouldn't,8,11.38,5,2,2,2,1
wound,5,8.72,4,1,1,2,1
wounded,7,8.26,6,2,2,2,2
wove,4,4.75,3,1,1,2,0
woven,5,6.78,4,2,2,2,0
wrapped,7,8.72,4,1,2,2,1
wrapping,8,7.43,5,2,2,2,2
wraps,5,7.47,4,1,2,2,1
wreak,5,6.12,3,1,1,2,0
wrecked,7,6.69,4,1,2,2,0
wrest,5,5.01,4,1,1,2,0
wrestle,7,6.86,4,2,1,2,0
wretched,8,8.18,5,2,2,2,2
wrinkled,8,6.33,6,2,2,2,2
write,5,11.8,3,1,1,2,1
writer's,8,7.6,5,2,3,2,2
writes,6,13.25,4,1,2,2,1
writhe,6,5.17,3,1,1,2,0
writhed,7,5.59,4,1,2,2,0
writhing,8,6.71,5,2,2,2,2
written,7,11.55,4,2,2,2,1
wronged,7,5.85,4,1,2,2,0
wrongful,8,6.33,5,2,2,2,2
wrongly,7,7.25,5,2,2,2,0
wrote,5,13.84,3,1,1,2,1
wrought,7,6.3,3,1,1,2,0
wry,3,5.85,2,1,1,2,0
wryly,5,4.76,4,2,2,2,0
Yale's,6,4.37,4,1,2,2,0
yanked,6,6.8,5,1,2,2,0
yanking,7,5.93,6,2,2,2,0
yawning,7,5.81,5,2,2,2,0
yearly,6,7.95,5,2,2,2,1
yearn,5,5.85,3,1,1,2,0
yearned,7,4.54,4,1,2,2,0
year's,6,9.02,4,1,2,2,1
yelled,6,7.65,4,1,2,2,1
yellowed,8,5.58,5,2,2,2,0
yelped,6,5.16,5,1,2,2,0
yielded,7,6.82,6,2,2,2,2
York's,6,6.26,5,1,2,2,0
you'd,5,10.62,3,1,2,2,1
you'll,6,11.39,3,1,2,2,1
younger,7,9.28,5,2,2,2,1
youngest,8,7.34,7,2,2,2,2
young's,7,6.11,4,1,2,2,0
you're,6,12.33,3,1,2,2,1
youthful,8,6.72,5,2,2,2,2
you've,6,11.14,3,1,2,2,1
zany,4,5.66,4,2,1,2,0
zealous,7,5.91,5,2,2,2,0
zeroed,6,5.05,5,2,2,2,0
zipped,6,7.3,4,1,2,2,0
zoned,5,5.23,4,1,2,2,0
where'd,7,6.05,5,1,2,2,0
whereof,7,5.54,6,2,2,2,0
where's,7,8.39,5,1,2,2,1
whet,4,4.85,4,1,1,2,0
whilst,6,8.41,6,1,2,2,1
whined,6,6.29,5,1,2,2,0
whining,7,8.57,6,2,2,2,2
whipped,7,7.65,5,1,2,2,0
whirled,7,5.91,5,1,2,2,0
whisked,7,5.19,6,1,2,2,0
whispered,9,7.93,7,2,2,2,2
white's,7,6.52,5,1,2,2,0
whittle,7,6.15,5,2,1,2,0
who'd,5,7.79,3,1,2,2,1
wholesale,9,8.42,6,2,2,2,2
wholesome,9,6.35,5,2,2,2,2
who'll,6,6.99,3,1,2,2,0
wholly,6,8.09,4,2,2,2,1
whopping,8,6.62,6,2,2,2,2
who's,5,10.06,3,1,2,2,1
who've,6,7.95,3,1,2,2,1
why'd,5,5.43,3,1,0,2,0
why's,5,5.8,4,1,2,2,0
wicked,6,8.35,5,2,1,2,1
widely,6,9.5,5,2,2,2,1
widen,5,6.44,4,2,2,2,0
widened,7,6.41,5,2,3,2,0
widens,6,4.77,5,2,3,2,0
wider,5,8.68,4,2,2,2,1
widest,6,6.77,6,2,2,2,0
widowed,7,5.59,5,2,2,2,0
wield,5,6.48,4,1,1,2,0
wielded,7,5.83,6,2,2,2,0
wife's,6,7.9,4,1,2,2,1
wiggled,7,6.1,5,2,2,2,0
wiggling,8,6.25,6,3,2,2,2
wild,4,10.08,4,1,1,2,1
wildest,7,6.68,7,2,2,2,2
wildly,6,7.87,6,2,2,2,2
willed,6,5.83,4,1,2,2,0
willful,7,6.38,6,2,0,2,0
Willie's,8,5.71,5,2,0,2,0
willing,7,10.93,5,2,2,2,1
willingly,9,7.36,7,3,3,2,2
Wilson's,8,6.43,6,2,3,2,2
wilt,4,6.93,4,1,1,2,0
wilted,6,4.85,6,2,2,2,0
wily,4,5.41,4,2,2,2,0
winced,6,5.7,5,1,2,2,0
winded,6,6.08,6,2,2,2,0
winds,5,8.77,5,1,2,2,1
windy,5,7.07,5,2,2,2,0
winged,6,6.51,4,1,2,2,0
winked,6,5.65,5,1,2,2,0
winking,7,5.6,6,2,2,2,0
wipe,4,8.36,3,1,1,2,1
wiped,5,8.04,4,1,2,2,1
wiping,6,7.24,5,2,2,2,0
wired,5,8.32,4,1,2,2,1
wiry,4,5.01,4,2,2,2,0
wisely,6,7.2,5,2,2,2,0
wisest,6,5.81,6,2,2,2,0
wished,6,8.32,4,1,2,2,1
wishful,7,7.31,5,2,2,2,2
wishing,7,8.57,5,2,2,2,2
wispy,5,4.85,5,2,2,2,0
withdraw,8,8.59,6,2,2,2,2
withdrawn,9,7.69,7,2,3,2,2
withdrew,8,7.28,6,2,2,2,2
wither,6,6.11,4,2,1,2,0
withheld,8,7.1,7,2,2,2,2
withhold,8,6.75,7,2,2,2,2
withstand,9,7.21,8,2,2,2,2
witless,7,5.45,6,2,2,2,0
witnessed,9,7.88,7,2,2,2,2
witty,5,7.79,4,2,2,2,1
wobbly,6,5.62,5,3,2,2,0
woeful,6,5.07,4,2,2,2,0
woke,4,8.08,3,1,1,2,1
woman's,7,8.62,6,2,2,2,2
women's,7,9.4,6,2,2,2,2
wanders,7,6.47,6,2,2,2,2
waned,5,5.02,4,1,2,2,0
waning,6,5.77,5,2,2,2,0
wanna,5,9.24,4,2,2,2,1
wanted,6,11.43,6,2,2,2,1
wanting,7,9.47,6,2,2,2,2
ward's,6,5.11,5,1,2,2,0
warm,4,9.95,4,1,1,2,1
warmed,6,7.04,5,1,2,2,0
warmer,6,7.49,5,2,2,2,0
warmly,6,6.55,6,2,2,2,0
warms,5,6.42,5,1,2,2,0
warn,4,8.35,4,1,1,2,1
warned,6,9.92,5,1,2,2,1
warns,5,7.39,5,1,2,2,0
warped,6,8.13,5,1,2,2,1
warring,7,6.51,5,2,2,2,0
war's,5,5.69,4,1,2,2,0
was,3,14.56,3,1,1,2,1
washed,6,8.07,4,1,2,2,1
wasn't,6,11.23,5,2,2,2,1
wasted,6,8.77,6,2,2,2,1
wasteful,8,6.97,6,2,2,2,2
